Event ID,Location,Slope(In degrees),River distance(metres),Soil Texture,Soil status,Soil Moisture,Deforestation,Forest cover,Estimated trees/km²,CO2 emissions in tons/year,Enroachment
AR26-001,"Yazali, Keyi Panyor, Arunachal Pradesh, India",45° to 75°,0-50m,"Loamy sand (Dominant), Sandy loam (Secondary)",Wet: Early pre-monsoon showers saturated upper topsoil (0–5 cm) without widespread ponding or deep saturation.,28%–34%(High),unregulated hill cutting and forest clearing for the expansion of major highway networks,68%,"46,000","3,100",Around 18 to 20 residential quarters illegally encroached
HP26-002,"Cholling, Kinnaur, Himachal Pradesh, India",Greater than 45°,0m,"Rocky/very shallow mountain soil (Dominant), Gravelly sandy loam (Secondary)",Saturated: High-intensity cloudburst runoff completely filled total soil pore space along steep gravelly drainage channels.,36%–42%(Very High),the extensive clearing of native Deodar and Chilgoza Pine forests for large-scale hydropower projects and highway expansions,52%,"10,000","1,400","school building and road infrastructure constructed directly adjacent to the unsafe, active path of the Cholling Nallah."
HP26-003,"Mastrang, Sangla Valley, Kinnaur, Himachal Pradesh, India",60° to Near-Vertical,0m,"Rocky/very shallow mountain soil (Dominant), Gravelly sandy loam (Secondary)","Saturated: Torrential glacio-fluvial spates overtopped banks, pushing coarse gravelly slope deposits to full matrix saturation.",35%–42%(Very High),"Ongoing forest fragmentation for commercial resort properties, local orchards, and access roads",48%,"12,000","1,000",The ITBP 2nd Battalion camp office and premises were built directly adjacent to the natural path of the Garge Nallah
HP26-004,"Boh Valley, Shahpur, Kangra, Himachal Pradesh, India",45° to 60°,0m,"Clay loam (Dominant), Sandy clay loam (Secondary)","Saturated: Concentrated foothill downpours exceeded soil field capacity, triggering rapid topsoil liquefaction.",38%–44%(Very High),unregulated hill cutting and forest thinning for rural road networks,57%,"29,000","5,700",residential houses and cowsheds constructed directly inside natural drainage paths and seasonal floodplains
AS26-005,"Sivasagar, Assam, India",0° to 3°,0m,"Silty clay loam (Dominant), Clay (Secondary)",Waterlogged: Flat Brahmaputra floodplain topography combined with river spates trapped standing water above soil surface.,48%–55%(Very High),Significant contributing factor in upper catchment hills,28%,"14,000","47,000","High along historical floodplains, riparian buffers, and natural drainage channels"
AS26-006,"Dikhowmukh, Sivasagar, Assam, India",0° to 3°,0m,"Silt loam (Dominant), Silty clay (Secondary)","Waterlogged: Dikhow River dyke breach flooded low-lying fine clay basins, maintaining continuous standing water.",46%–54%(Very High),Commercial tree clearing in the upper catchment drastically,36%,"19,000","32,000",Permanent construction
UK26-007,"Syanachatti, Uttarkashi, Uttarakhand, India",45° to 87°,0m,"Rocky/very shallow mountain soil (Dominant), Gravelly sandy loam (Secondary)","Saturated: Extreme mountain downpours fully saturated porous, skeletal scree deposits along narrow gorges.",34%–40%(Very High),"Widespread hill cutting, blasting, and tree removal for highway widening and commercial properties",76%,"55,000","70,000",High exposure footprint along river margins
AS25-008,"Hailakandi, Assam, India",0° to 2°,0m,"Silty clay loam (Dominant), Clay loam (Secondary)",Waterlogged: Multi-day regional monsoonal inundation submerged low-gradient alluvial plains under prolonged standing water.,48%–56%(Very High),"highly critical, human induced",54%,"25,000","40,000",Extreme (Thousands of dense residential structures built straight into historical floodplains and drainage margins)
AR25-009,"Daporijo, Upper Subansiri, Arunachal Pradesh, India",45° to 80°,0m,"Sandy clay loam (Dominant), Rocky shallow mountain soil (Secondary)",Saturated: High antecedent monsoon rainfall filled soil matrix pores to maximum retention across steep hill gradients.,36%–42%(Very High),Heavy timber clearing and aggressive slope cutting for rural roadways,81%,"59,000","37,000",High constructions directly in natural paths
MG25-010,"Sohra, East Khasi Hills, Meghalaya, India",60° to Near-Vertical,"1,000m-1,500m","Sandy loam (Dominant), Rocky shallow mountain soil (Secondary)","Saturated: Intense orographic lifting dropped massive rainfall, completely saturating thin topsoils over sandstone bedrock.",32%–38%(Very High),Heavy forest clear for unscientific mining and road slicing,72%,"44,000","27,000",Human structures and commercial cafe spots neraby drainage pathways
UK25-011,"Dharali, Uttarkashi, Uttarakhand, India",45° to 78°,0m,"Rocky/very shallow mountain soil (Dominant), Gravelly sand (Secondary)",Saturated: Rapid glacio-fluvial surges and local rain saturated valley-bottom coarse skeletal deposits.,34%–40%(Very High),Moderately compounding factor at lower valley altitudes,61%,"24,000","2,600",Critically high because of hotel and guest houses for pilgrims
HP25-012,"Mandi, Himachal Pradesh, India",35° to 65°,0m,"Loam (Dominant), Sandy clay loam (Secondary)",Saturated: Beas River flash flooding and intense urban runoff fully saturated gravelly river-terrace soils.,36%–43%(Very High),widespread hill blasting and forest fragmentation for tourist resort hubs and highway widening projects,43%,"25,000","83,000","Multiple commercial hotels, local shops, and tourist dwellings constructed directly inside the Beas river floodplain"
JK25-013,"Chisoti, Paddar, Kishtwar, Jammu & Kashmir, India",50° to 70°,0m,"Rocky/very shallow mountain soil (Dominant), Coarse sandy loam (Secondary)","Saturated: Cloudburst torrents filled coarse mountain soil pores instantly, eliminating soil suction and generating maximum runoff.",32%–38%(Very High),"Aggressive tree clearing, steep slope slicing, and blasting for heavy infrastructure projects",72%,"32,000","2,000","Dozens of commercial stalls, hotels, pilgrim tents, and a community kitchen (langar) were built directly on the active stream channel bed"
JK25-014,"Kathua, Jammu & Kashmir, India",15° to 35°,"6,500m-7,000","Sandy loam (Dominant), Loam (Secondary)",Wet–Saturated: Continuous foothill monsoon surges brought Outer Plain sandy loams to near-total volumetric saturation.,34%–42%(High to Very High),"highly critical, human induced",39%,"14,000","21,000","Dozens of temporary residential structures, agricultural shelters, and cattle sheds built directly on seasonal dry beds"
AS24-015,"Guwahati, Kamrup Metropolitan, Assam, India",0°–8°,0m,"Silt loam (Dominant), Silty clay loam (Secondary)",Waterlogged: Brahmaputra backwater inundation submerged low-elevation silty clay soils under standing floodwaters.,48%–56%(Very High),"highly critical, human induced multiplying factor",35%,"17,000","55,000",Extensive permanent and temporary human settlements built directly on active wetlands
AR24-016,"Bijoypur, Diyun Circle, Changlang, Arunachal Pradesh, India",35° to 65°,0m,"Sandy clay loam (Dominant), Silt loam (Secondary)",Saturated: Continuous riverine flooding and heavy rain eliminated soil matrix suction across lower alluvial terraces.,41%–46%(Very High),Aggressive hill-cutting for highway networks and tree-clearing,69%,"50,000","18,000",Widespread residential clusters and schools built directly on active river channels
SK24-017,"Mangan, Sikkim, India",45° to 75°,400-500m,"Rocky/very shallow mountain soil (Dominant), Gravelly loam (Secondary)","Saturated: Relentless downpours saturated thin mountain topsoil over rock strata, triggering widespread slope failures.",31%–37%(Very High),"highly critical, human induced multiplying factor",79%,"53,000","4,000",High exposure footprint along river margins
MN24-018,"Imphal, Manipur, India",0°–13°,0m,"Clay loam (Dominant), Clay (Secondary)",Waterlogged: Urban drainage congestion and river overflow submerged low-lying alluvial clay basins under standing water.,48%–55%(Very High),"Extensive tree-felling, poppy cultivation, and slope-slashing left high ridges barren and unable to retain rainfall",24%,"7,000","40,000",Extremely high exposure footprint along river fringes
TR24-019,"Agartala, West Tripura, Tripura, India",10°–20°,0m,"Sandy clay loam (Dominant), Silty clay loam (Secondary)",Saturated: Prolonged monsoonal rain completely saturated tilla hillock slopes and inter-hill valley bottoms.,41%–46%(Very High),Extensive timber removal and unscientific hill cutting stripped root structures,51%,"11,000","18,000",Widespread permanent structures and built-up areas constructed directly onto low-lying active floodplain
UK24-020,"Sonprayag, Rudraprayag, Uttarakhand, India",45° to 75°,0m,"Rocky/very shallow mountain soil (Dominant), Gravelly sandy loam (Secondary)",Saturated: High-intensity precipitation in narrow Mandakini gorge fully saturated slope colluvium and riverbed scree.,31%–37%(Very High),"human-induced accelerating factor.Heavy hill blasting, slope slicing for the Char Dham highway expansion",82%,"63,000","70,000","Expanding networks of commercial hotels, parking slots, and pilgrim camps built close to active torrent bank"
